japanese,english,reading
おもいます,think,omoimasu
いいます,say,iimasu
かちます,win,kachimasu
まけます,lose / be defeated,makemasu
あります,be held / take place,arimasu
[おまつりが~] あります,be held [a festival],[omatsuri ga~] arimasu
役に立ちます,be useful,yaku ni tachimasu
うごきます,move / work,ugokimasu
やめます,quit / retire / stop,yamemasu
[かいしゃを~] やめます,quit [a company],[kaisha o~] yaめます
きをつけます,be careful / pay attention,ki o tsukemasu
りゅうがくします,study abroad,ryūgakushimasu
むだ[な],wasteful,muda[na]
ふべん[な],inconvenient,fuben[na]
おなじ,same,onaji
すごい,awful / wonderful / great,sugoi
しゅしょう,prime minister,shushō
だいとうりょう,president (of a country),daitōryō
せいじ,politics,seiji
ニュース,news,nyūsu
スピーチ,speech,supīchi
しあい,game / match,shiai
アルバイト,side job / part-time job,arubaito
[~を~] します,work a part-time job,[~ o~] shimasu
いけん,opinion,iken
[お]はなし,talk / story / speech,[o]hanashi
ユーモア,humor,yūmoa
デザイン,design,dezain
こうつう,traffic / transportation,kōtsū
ぶっか,prices (of commodities) / cost of living,bukka
ほうそう,broadcast / broadcasting,hōsō
テレビばんぐみ,TV program,terebi bangumi
アニメ,anime / cartoon,anime
マンガ,manga / comic book,manga
デザイン,design,dezain
こうつう,traffic / transportation,kōtsū
さいきん,recently / these days,saikin
たぶん,perhaps / probably,tabun
きっと,surely / definitely,kitto
ほんとうに,really / truly,hontō ni
そんなに,not so much (used with negatives),sonnani
~について,about ~ / regarding ~,~ ni tsuite
しかたがありません,There is no other way. / It can't be helped.,shikata ga arimasen
しばらくですね,It's been a while.,shibaraku desu ne
〜でものみませんか,How about drinking ~ or something?,~ demo nomimasen ka
みないと...,I must watch it...,minaito...
もちろん,of course,mochiron
カンガルー,kangaroo,kangarū
