japanese,english,reading
青い,blue,aoi
赤い,red,akai
明るい,bright,akarui
明らかな,clear/obvious,akiraka na
開ける,to open,akeru
朝,morning,asa
足,leg/foot,ashi
暖かい/温かい,warm,atatakai
頭,head,atama
暑い,hot,atsui
集まる,to gather,atsumaru
兄,older brother,ani
姉,older sister,ane
洗う,to wash,arau
歩く,to walk,aruku
安心な,relieved/safe,anshin na
安全な,safe,anzen na
買う,to buy,kau
帰り,return,kaeri
顔,face,kao
風,wind,kaze
悲しい,sad,kanashii
神,god,kami
通う,to commute,kayou
体,body,karada
借りる,to borrow,kariru
軽い,light,karui
考える,to think,kangaeru
決まる,to be decided,kimaru
着物,kimono,kimono
切る,to cut,kiru
近所,neighborhood,kinjo
具合,condition,guai
空港,airport,kuukou
薬,medicine,kusuri
首,neck,kubi
暗い,dark,kurai
黒い,black,kuroi
経験,experience,keiken
消す,to erase/turn off,kesu
研究,research,kenkyuu
工場,factory,koujou
声,voice,koe
故障,breakdown,koshou
答え,answer,kotae
米,rice,kome
今度,next time,kondo
探す,to search,sagasu
魚,fish,sakana
寒い,cold,samui
残念な,regrettable,zannen na
静かな,quiet,shizuka na
親しい,intimate/close,shitashii
品物,goods,shinamono
閉める,to close,shimeru
自由な,free,jiyuu na
十分な,enough,juubun na
上手な,skilled,jouzu na
出発,departure,shuppatsu
趣味,hobby,shumi
準備,preparation,junbi
小説,novel,shousetsu
食堂,cafeteria,shokudou
知る,to know,shiru
親切な,kind,shinsetsu na
心配な,worried,shinpai na
好きな,like,suki na
涼しい,cool,suzushii
進む,to advance,susumu
座る,to sit,suwaru
大事な,important,daiji na
大切な,important,taisetsu na
高い,high/expensive,takai
確かな,certain,tashika na
出す,to take out,dasu
正しい,correct,tadashii
楽しい,fun,tanoshii
食べる,to eat,taberu
足りる,to be sufficient,tariru
小さい,small,chiisai
近い,near,chikai
力,power,chikara
注意,caution,chuui
中止,cancellation,chuushi
使う,to use,tsukau
着く,to arrive,tsuku
机,to desk,tsukue
空,sky,sora
都合,convenience,tsugou
強い,strong,tsuyoi
手紙,letter,tegami
出口,exit,deguchi
出る,to go out,deru
遠い,far,tooi
通る,to pass,tooru
特別な,special,tokubetsu na
止まる,to stop,tomaru
鳥,bird,tori
取る,to take,toru
長い,long,nagai
夏,summer,natsu
習う,to learn,narau
日記,diary,nikki
熱心な,enthusiastic,nesshin na
眠い,sleepy,nemui
眠る,to sleep,nemuru
乗る,to ride,noru
運ぶ,to carry,hakobu
始める,to begin,hajimeru
走る,to run,hashiru
働く,to work,hataraku
花,flower,hana
早い,early/fast,hayai
春,spring,haru
反対,opposite,hantai
低い,low,hikui
必要な,necessary,hitsuyou na
昼,noon,hiru
広い,wide,hiroi
太い,fat/thick,futoi
不便な,inconvenient,fuben na
冬,winter,fuyu
古い,old,furui
勉強,study,benkyou
返事,reply,henji
便利な,convenient,benri na
前,front,mae
町,town,machi
間に合う,to be in time,ma ni au
短い,short,mijikai
湖,lake,mizuumi
店,shop,mise
道,road,michi
港,port,minato
南,south,minami
耳,ear,mimi
村,village,mura
無理な,impossible,muri na
目,eye,me
持つ,to hold,motsu
森,forest,mori
野菜,vegetable,yasai
安い,cheap,yasui
休む,to rest,yasumu
夕方,evening,yuugata
有名な,famous,yuumei na
雪,snow,yuki
指,finger,yubi
輸入,import,yunyuu
用意,preparation,youi
予習,preparation for class,yoshuu
読む,to read,yomu
喜ぶ,to be glad,yorokobu
弱い,weak,yowai
料理,cooking,ryouri
悪い,bad,warui
